attribution_id,agency_id,route_id,trip_id,organization_name,is_producer,is_operator,is_authority,attribution_url,attribution_email,attribution_phone,expect_error
ok,,,,test organization,1,0,0,http://interline.io,info@interline.io,510-555-5555,
ok2,,,,test,1,,,,,,
no_organization_name,,,,,1,,,,,,RequiredFieldError:organization_name
no_is_producer,,,,test,,,,,,,ConditionallyRequiredFieldError:is_producer
invalid_is_producer,,,,test,100,1,1,,,,InvalidFieldError:is_producer
invalid_is_operator,,,,test,1,100,1,,,,InvalidFieldError:is_operator
invalid_is_authority,,,,test,1,1,100,,,,InvalidFieldError:is_authority
malformed_attribution_email,,,,test,1,,,,xyz,,InvalidFieldError:attribution_email
malformed_attribution_url,,,,test,1,,,xyz,,,InvalidFieldError:attribution_url
malformed_attribution_url,,,,test,1,,,xyz,,,InvalidFieldError:attribution_url
exlusive_agency_id1,agency,route,,test,1,,,,,,ConditionallyForbiddenFieldError:route_id
exlusive_agency_id2,agency,,trip,test,1,,,,,,ConditionallyForbiddenFieldError:trip_id
exlusive_route_id,,route,trip,test,1,,,,,,ConditionallyForbiddenFieldError:trip_id
