fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration,expect_error
ok_fare,2.0,USD,1,1,ok_agency,600,
special_case_empty_transfers,2.0,USD,1,,ok_agency,,
,2.0,USD,1,1,ok_agency,,RequiredFieldError:fare_id
no_price,,USD,1,1,ok_agency,,RequiredFieldError:price
no_currency_type,2.0,,1,1,ok_agency,,RequiredFieldError:currency_type
no_payment_method,2.0,USD,,1,ok_agency,,RequiredFieldError:payment_method
parse_price,xyz,USD,1,1,ok_agency,,FieldParseError:price
parse_payment_method,2.0,USD,xyz,1,ok_agency,,FieldParseError:payment_method
invalid_price,-1,USD,1,1,ok_agency,,InvalidFieldError:price
invalid_payment_method,2.0,USD,2,1,ok_agency,,InvalidFieldError:payment_method
invalid_transfers,2.0,USD,1,3,ok_agency,,InvalidFieldError:transfers
parse_transfer_duration,2.0,USD,1,1,ok_agency,xyz,FieldParseError:transfer_duration
invalid_transfer_duration,2.0,USD,1,1,ok_agency,-1,InvalidFieldError:transfer_duration
invalid_currency_type,2.0,xyz,1,1,ok_agency,,InvalidFieldError:currency_type
