route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,expect_error
ok,ok,valid route,valid route 1,valid route desc,3,http://example.com,#ff0000,#00ff00,0,
,ok,No route_id,,,3,,,,,RequiredFieldError:route_id
no_agency_id,,No agency_id,,,3,,,,,ValidationWarning:agency_id
no_route_name,ok,,,No short_name or route_long_name,3,,,,,RequiredFieldError:route_short_name
parse_route_type,ok,parse route_type,,,xyz,,,,,FieldParseError:route_type
invalid_route_type,ok,invalid route_type,,,-1,,,,,InvalidFieldError:route_type
invalid_route_type,ok,invalid route_type,,,1234567,,,,,InvalidFieldError:route_type
invalid_route_url,ok,invalid route_url,,,3,example.com,,,,InvalidFieldError:route_url
invalid_route_color,ok,invalid route_color,,,3,,xyz,,,InvalidFieldError:route_color
invalid_route_text_color,ok,invalid route_text_color,,,3,,,xyz,,InvalidFieldError:route_text_color
parse_route_sort_order,ok,parse route_sort_order,,,3,,,,xyz,FieldParseError:route_sort_order
warning_same_route_desc,ok,xyz,route_desc = route_short_name,xyz,3,,,,,ValidationWarning:route_desc
warning_extended_vehicle_type,ok,extended vehicle_type,,,1000,,,,,ValidationWarning:route_type
warning_same_color,ok,route_color = route_text_color,,,3,,#ffffff,#ffffff,,ValidationWarning:route_text_color
