shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,expect_error
ok,36.641496,-116.40094,1,1.0,
ok,36.641496,-116.40094,2,2.0,
ok,36.641496,-116.40094,3,3.0,
ok,36.641496,-116.40094,4,4.0,
parse_shape_pt_lat,xyz,-116.40094,1,,FieldParseError:shape_pt_lat|ValidationWarning:shape_pt_lat
parse_shape_pt_lon,36.641496,xyz,1,,FieldParseError:shape_pt_lon|ValidationWarning:shape_pt_lon
warning_zero_shape_pt_lat,0.0,-116.40094,1,,ValidationWarning:shape_pt_lat
warning_zero_shape_pt_lon,36.641496,0.0,1,,ValidationWarning:shape_pt_lon
no_shape_pt_lat,,-116.40094,1,,RequiredFieldError:shape_pt_lat|ValidationWarning:shape_pt_lat
no_shape_pt_lon,36.641496,,1,,RequiredFieldError:shape_pt_lon|ValidationWarning:shape_pt_lon
no_shape_pt_sequence,36.641496,-116.40094,,,RequiredFieldError:shape_pt_sequence
invalid_shape_pt_lat1,-91.0,-116.40094,1,,InvalidFieldError:shape_pt_lat
invalid_shape_pt_lat2,91.0,-116.40094,1,,InvalidFieldError:shape_pt_lat
invalid_shape_pt_lon1,36.641496,-181.0,1,,InvalidFieldError:shape_pt_lon
invalid_shape_pt_lon2,36.641496,181.0,1,,InvalidFieldError:shape_pt_lon
parse_shape_pt_sequence,36.641496,-116.40094,xyz,,FieldParseError:shape_pt_sequence
