stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,stop_code,stop_timezone,parent_station,expect_error
ok1,Stop 1,A good stop,36.641496,-116.40094,,,,,,,,
ok2,Stop 2,A good stop,36.641496,-116.40094,,,,,,,,
station,Station,A good station,36.641496,-116.40094,,,1,,,,,
,no stop_id,,36.425288,-117.133162,,,,,,,,RequiredFieldError:stop_id
invalid_stop_url,invalid stop_url,,36.425288,-117.133162,,abcxyz,,,,,,InvalidFieldError:stop_url
no_stop_name,,no stop_name,36.641496,-116.40094,,,,,,,,ConditionallyRequiredFieldError:stop_name
warning_same_desc,test,test,36.641496,-116.40094,,,,,,,,ValidationWarning:stop_desc
invalid_stop_lat1,stop_lat < -90,,-91.0,-116.40094,,,,,,,,InvalidFieldError:stop_lat
invalid_stop_lon1,stop_lon < -180,,36.641496,-181.0,,,,,,,,InvalidFieldError:stop_lon
invalid_stop_lat2,stop_lat > 90,,91.0,-116.40094,,,,,,,,InvalidFieldError:stop_lat
invalid_stop_lon2,stop_lat > 180,,36.641496,181.0,,,,,,,,InvalidFieldError:stop_lon
warning_stop_lat,stop_lat = 0,,0.0,-116.40094,,,,,,,,ValidationWarning:stop_lat
warning_stop_lon,stop_lon = 0,,36.641496,0.0,,,,,,,,ValidationWarning:stop_lon
parse_stop_lon,stop_lat parse error,,36.641496,xyz,,,,,,,,FieldParseError:stop_lon
parse_stop_lat,stop_lon parse error,,xyz,-116.40094,,,,,,,,FieldParseError:stop_lat
invalid_location_type,location_type > 2,,36.641496,-116.40094,,,6,,,,,InvalidFieldError:location_type
parse_location_type,location_type parse error,,36.641496,-116.40094,,,xyz,,,,,FieldParseError:location_type
parse_wheelchair_boarding,wheelchair_boarding parse error,,36.641496,-116.40094,,,,xyz,,,,FieldParseError:wheelchair_boarding
invalid_wheelchair_boarding,wheelchair_boarding > 2,,36.641496,-116.40094,,,,3,,,,InvalidFieldError:wheelchair_boarding
invalid_stop_timezone,invalid stop_timezone,,36.641496,-116.40094,,,,,,xyz,,ValidationWarning:stop_timezone
error_location_type_without_parent_station,location_type = 2 without parent_station,,36.641496,-116.40094,,,2,,,,,InvalidFieldError:parent_station
error_station_with_parent_station,location_type = 1 with parent_station,,36.641496,-116.40094,,,1,,,,station,InvalidFieldError:parent_station
