test_name,table_name,field_name,language,translation,record_id,record_sub_id,field_value,expect_error
ok,agency,agency_name,en,hello,ok,,,
ok_stops,stops,stop_name,en,hello,ok,,,
ok_routes,routes,route_short_name,en,hello,ok,,,
ok_trips,trips,trip_headsign,en,hello,ok,,,
ok_stop_times,stop_times,stop_headsign,en,hello,ok,1,,
ok_pathways,pathways,signposted_as,en,hello,ok,,,
ok_levels,levels,level_name,en,hello,ok,,,
ok_feed_info,feed_info,feed_publisher_name,en,hello,,,,
ok_attributions,attributions,organization_name,en,hello,ok,,,
invalid_table_name,xyz,agency_name,en,hello,ok,,,InvalidFieldError:table_name
invalid_language,agency,agency_name,xyz,hello,ok,,,InvalidFieldError:language
record_id_required,agency,agency_name,en,hello,,,,ConditionallyRequiredFieldError:record_id
record_sub_id_required,stop_times,stop_headsign,en,hello,ok,,,ConditionallyRequiredFieldError:record_sub_id
forbidden_record_id,feed_info,feed_publisher_name,en,hello,ok,,,ConditionallyForbiddenFieldError:record_id
forbidden_record_sub_id,feed_info,feed_publisher_name,en,hello,ok,ok,,ConditionallyForbiddenFieldError:record_id|ConditionallyForbiddenFieldError:record_sub_id
forbidden_field_value,feed_info,feed_publisher_name,en,hello,,,asd,ConditionallyForbiddenFieldError:field_value
record_id_exclusive_field_value,agency,agency_name,en,hello,ok,,asd,ConditionallyForbiddenFieldError:field_value
