pathway_id,is_bidirectional,cover_type,length,max_slope,min_width,pathway_mode,reversed_signposted_as,signposted_as,stair_count,traversal_time,wheelchair_assistance,from_stop_id,to_stop_id
link330,1,0,0,,,1,,,,,,access329,access328
link331,1,0,0,,,1,,,,,,access328,access108
link338,1,0,0,,,1,Euston Road Way Out,,,,,access337,4900ZZLUKSX5
link342,1,0,0,,,1,St Pancras International,"Euston Road, Buses, Underground",,,,access341,access26
link344,1,0,0,,,1,,,,,,access343,access33
link405,0,0,2,,,7,,,,,,access58,access403
link408,0,0,2,,,7,,,,,,access66,access406
link413,0,0,2,,,7,,,,,,access409,access410
link416,0,0,2,,,7,,,,,,access414,access234
link404,0,0,2,,,6,,,,,,access403,access58
link407,0,0,2,,,6,,,,,,access406,access66
link412,0,0,2,,,6,,,,,,access410,access409
link415,0,0,2,,,6,,,,,,access234,access414
link89,1,0,6,,,1,"Kings Cross, St Pancras",Northern Line Northbound Platform,,5,,access301,boarding87
link90,1,0,6,,,1,"Kings Cross, St Pancras",Northern Line Southbound Platform,,5,,access301,boarding88
link102,1,0,6,,,1,"Kings Cross, St Pancras, Lift",Northern Line Southbound Platform,,5,,access97,boarding272
link121,1,0,6,,,1,"Victoria Line, Kings Cross, St Pancras",Piccadilly Line Westbound Platform,,5,,access329,boarding113
link122,1,0,6,,,1,"Victoria Line, Kings Cross, St Pancras",Piccadilly Line Eastbound Platform,,5,,access329,boarding114
link123,1,0,6,,,1,"Victoria Line, Kings Cross, St Pancras",Piccadilly Line Westbound Platform,,5,,access107,boarding111
link124,1,0,6,,,1,"Victoria Line, Kings Cross, St Pancras",Piccadilly Line Eastbound Platform,,5,,access107,boarding116
link146,1,0,6,,,1,"Way Out, Trains, Hammersmith & City, Metropolitan and Circle Lines",Victoria Line Northbound Platform,,5,,access317,boarding145
link147,1,0,6,,,1,"Way Out, Trains, Hammersmith & City, Metropolitan and Circle Lines",Victoria Line Northbound Platform,,5,,access318,boarding143
link149,1,0,6,,,1,"Way Out, Trains, Hammersmith & City, Metropolitan and Circle Lines",Victoria Line Southbound Platform,,5,,access317,boarding144
link150,1,0,6,,,1,"Way Out, Trains, Hammersmith & City, Metropolitan and Circle Lines",Victoria Line Southbound Platform,,5,,access318,boarding142
link156,1,0,6,,,1,,,,5,,boarding144,boarding142
link158,1,0,6,,,1,,,,5,,boarding142,boarding257
link160,1,0,6,,,1,,,,5,,boarding145,boarding143
link162,1,0,6,,,1,,,,5,,boarding143,boarding258
link170,1,0,6,,,1,"Piccadilly Line, Kings Cross, St Pancras International",Victoria Line Southbound Platform,,5,,boarding137,access129
link171,1,0,6,,,1,"Piccadilly Line, Kings Cross, St Pancras International",Victoria Line Northbound Platform,,5,,boarding163,access129
link195,1,0,6,,,1,"Victoria Line, Kings Cross, St Pancras, Lift",Piccadilly Line Eastbound Platform,,5,,boarding192,access108
link196,1,0,6,,,1,"Victoria Line, Kings Cross, St Pancras, Lift",Piccadilly Line Westbound Platform,,5,,access108,boarding112
link244,1,0,6,,,1,,,,5,,access343,access242
link267,1,0,6,,,1,"Piccadilly Line, Kings Cross, St Pancras International, Lift, Way Out Regent's Canal, Pentonville Road",,,5,,boarding139,access130
