from_leg_group_id,to_leg_group_id,fare_product_id,fare_transfer_type,transfer_count,duration_limit,duration_limit_type,filter_fare_product_id,expect_error
ok,,,,,,,,RequiredFieldError:fare_transfer_type
transfer_count_required,transfer_count_required,test,1,,,,,ConditionallyRequiredFieldError:transfer_count
ok,,test,1,1,,,,ConditionallyForbiddenFieldError:transfer_count
ok,,test,1,,1,,,ConditionallyRequiredFieldError:duration_limit
ok,,test,1,,,1,,ConditionallyForbiddenFieldError:duration_limit
invalid_fare_transfer_type,,,-1,,,,,InvalidFieldError:fare_transfer_type
invalid_fare_transfer_type,,,-3,,,,,InvalidFieldError:fare_transfer_type
invalid_fare_transfer_count,invalid_fare_transfer_count,,1,-2,,,,InvalidFieldError:transfer_count
invalid_duration_limit,,,1,,-1,1,,InvalidFieldError:duration_limit
invalid_duration_type,,,1,,1,-1,,InvalidFieldError:duration_limit_type
invalid_duration_type,,,1,,1,4,,InvalidFieldError:duration_limit_type
parse_fare_transfer_type,,,asd,,,,,FieldParseError:fare_transfer_type|RequiredFieldError:fare_transfer_type
parse_transfer_count,,,1,asd,,,,FieldParseError:transfer_count
parse_duration_limit,,,1,,asd,,,FieldParseError:duration_limit
parse_duration_limit_type,,,1,,,asd,,FieldParseError:duration_limit_type
