rider_category_id,rider_category_name,min_age,max_age,eligibility_url,is_default_fare_category,expect_error
ok,ok,,,,,
,missing rider category id,,,,,RequiredFieldError:rider_category_id
missing_rider_category_name,,,,,,RequiredFieldError:rider_category_name
invalid_min_age,invalid min age,-1,65,,,InvalidFieldError:min_age
invalid_max_age,invalid min age,,-1,,,InvalidFieldError:max_age
parse_min_age,parse min age,asd,,,,FieldParseError:min_age
parse_max_age,parse max age,,asd,,,FieldParseError:max_age
max_age_less_than_min_age,max age is less than min age,10,5,,,InvalidFieldError:max_age
invalid_eligibility_url,invalid eligibility url,,,asd,,InvalidFieldError:eligibility_url
invalid_default_fare_category,invalid default fare category,,,,2,InvalidFieldError:is_default_fare_category
parse_error_default_fare_category,parse error default fare category,,,,asd,FieldParseError:is_default_fare_category
