trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
2230435WKDY,05:00:00,05:00:00,19TH,8,Fremont,,,,1
2230435WKDY,05:02:00,05:02:00,12TH,9,Fremont,,,,1
2230435WKDY,05:05:00,05:05:00,LAKE,10,Fremont,,,,1

block1a,05:00:00,05:00:00,19TH,8,Fremont,,,,1
block1a,05:02:00,05:02:00,12TH,9,Fremont,,,,1
block1b,05:01:00,05:01:00,19TH,8,Fremont,,,,1
block1b,05:03:00,05:03:00,12TH,9,Fremont,,,,1

block2a,05:00:00,05:00:00,19TH,8,Fremont,,,,1
block2a,05:02:00,05:02:00,12TH,9,Fremont,,,,1
block2b,04:59:00,04:59:00,19TH,8,Fremont,,,,1
block2b,05:03:00,05:03:00,12TH,9,Fremont,,,,1

block3a,05:00:00,05:00:00,19TH,8,Fremont,,,,1
block3a,05:02:00,05:02:00,12TH,9,Fremont,,,,1
block3b,05:02:00,05:02:00,19TH,8,Fremont,,,,1
block3b,05:04:00,05:04:00,12TH,9,Fremont,,,,1

block4a,05:00:00,05:00:00,19TH,8,Fremont,,,,1
block4a,05:02:00,05:02:00,12TH,9,Fremont,,,,1
block4b,05:00:00,05:00:00,19TH,8,Fremont,,,,1
block4b,05:02:00,05:02:00,12TH,9,Fremont,,,,1

block5a,05:00:00,05:00:00,19TH,8,Fremont,,,,1
block5a,05:02:00,05:02:00,12TH,9,Fremont,,,,1
block5b,05:01:00,05:01:00,19TH,8,Fremont,,,,1
block5b,05:03:00,05:03:00,12TH,9,Fremont,,,,1

block6a,05:00:00,05:00:00,19TH,8,Fremont,,,,1
block6a,05:02:00,05:02:00,12TH,9,Fremont,,,,1
block6b,05:01:00,05:03:00,19TH,8,Fremont,,,,1
block6b,05:04:00,05:04:00,12TH,9,Fremont,,,,1
