fare_product_id,fare_product_name,amount,currency,transfer_only,rider_category_id,fare_media_id,expect_error
free,free fare,0,USD,0,adult,,

empty-ambiguous,single ride (empty rider cat),1.5,USD,0,,,AmbiguousRiderCategoryError

single-ride-1,single ride (adult + test1),1.5,USD,0,adult,,
single-ride-1,single ride (adult + test1),1.5,USD,0,test1,,AmbiguousRiderCategoryError

single-ride-2,single ride (test1 + test2),1.5,USD,0,test1,,
single-ride-2,single ride (test1 + test2),1.5,USD,0,test2,,

single-ride-3,single ride (adult + test2),1.5,USD,0,adult,,
single-ride-3,single ride (adult + test2),1.5,USD,0,test2,,
